one_month_accumulative,three_month_accumulative,"""zhima_score_num""","""anti_risk_score""",d0,d1,d7,d14,d30
5.0,16.0,587,18.0,1,1,1,1,1
7.0,16.0,600,42.0,0,0,0,0,0
7.0,23.0,666,11.0,1,0,0,0,0
6.0,18.0,663,48.0,0,0,0,0,0
4.0,25.0,566,28.0,1,1,0,0,0
1.0,9.0,609,11.0,1,1,1,1,1
3.0,13.0,658,16.0,1,0,0,0,0
0.0,9.0,605,42.0,1,1,1,1,1
1.0,11.0,557,19.0,1,0,0,0,0
7.0,26.0,632,3.0,1,0,0,0,0
0.0,7.0,595,14.0,1,1,1,1,1
2.0,4.0,616,25.0,1,0,0,0,0
0.0,7.0,613,37.0,1,1,1,1,1
21.0,42.0,641,21.0,0,0,0,0,0
,,550,55.0,0,0,0,0,0
7.0,23.0,617,13.0,1,0,0,0,0
3.0,33.0,608,17.0,1,1,1,1,1
2.0,17.0,611,15.0,0,0,0,0,0
9.0,17.0,550,25.0,1,0,0,0,0
2.0,4.0,607,9.0,0,0,0,0,0
18.0,34.0,646,11.0,0,0,0,0,0
4.0,14.0,613,8.0,1,1,1,1,1
1.0,10.0,554,9.0,1,1,1,1,1
8.0,27.0,609,26.0,0,0,0,0,0
0.0,1.0,606,12.0,0,0,0,0,0
2.0,9.0,578,11.0,0,0,0,0,0
0.0,5.0,645,12.0,0,0,0,0,0
1.0,2.0,641,3.0,1,0,0,0,0
14.0,29.0,660,12.0,0,0,0,0,0
0.0,5.0,574,12.0,0,0,0,0,0
0.0,5.0,554,13.0,0,0,0,0,0
10.0,21.0,604,35.0,0,0,0,0,0
2.0,3.0,605,16.0,0,0,0,0,0
3.0,21.0,582,25.0,1,1,1,1,1
0.0,12.0,577,32.0,1,1,0,0,0
2.0,13.0,609,7.0,0,0,0,0,0
7.0,18.0,551,7.0,0,0,0,0,0
0.0,1.0,550,47.0,1,1,1,1,1
8.0,33.0,707,2.0,0,0,0,0,0
0.0,10.0,611,13.0,1,1,0,0,0
8.0,19.0,588,37.0,1,0,0,0,0
6.0,27.0,625,6.0,0,0,0,0,0
4.0,10.0,659,10.0,0,0,0,0,0
15.0,29.0,644,2.0,0,0,0,0,0
3.0,5.0,517,12.0,1,0,0,0,0
13.0,28.0,579,25.0,1,0,0,0,0
1.0,6.0,551,37.0,1,0,0,0,0
2.0,14.0,620,16.0,0,0,0,0,0
3.0,6.0,675,24.0,1,1,1,1,1
18.0,37.0,618,25.0,1,0,0,0,0
5.0,18.0,551,20.0,0,0,0,0,0
1.0,22.0,641,6.0,1,1,1,0,0
1.0,8.0,550,29.0,1,1,1,1,1
2.0,11.0,602,35.0,1,1,1,1,1
1.0,25.0,615,17.0,0,0,0,0,0
9.0,32.0,597,8.0,1,1,1,0,0
16.0,42.0,657,8.0,0,0,0,0,0
7.0,32.0,662,10.0,0,0,0,0,0
10.0,26.0,638,27.0,0,0,0,0,0
2.0,5.0,608,11.0,0,0,0,0,0
12.0,20.0,593,12.0,0,0,0,0,0
7.0,20.0,615,8.0,0,0,0,0,0
0.0,8.0,628,16.0,0,0,0,0,0
6.0,25.0,594,59.0,1,0,0,0,0
6.0,19.0,553,28.0,1,1,1,1,1
1.0,10.0,614,16.0,0,0,0,0,0
0.0,7.0,594,24.0,1,1,1,0,0
5.0,18.0,559,10.0,0,0,0,0,0
0.0,2.0,702,47.0,1,0,0,0,0
4.0,25.0,630,31.0,0,0,0,0,0
7.0,22.0,551,10.0,1,1,1,0,0
2.0,5.0,576,14.0,0,0,0,0,0
2.0,9.0,550,10.0,1,1,0,0,0
1.0,21.0,571,22.0,0,0,0,0,0
2.0,14.0,551,13.0,0,0,0,0,0
1.0,2.0,732,57.0,0,0,0,0,0
2.0,25.0,570,8.0,1,1,1,1,1
1.0,1.0,636,19.0,0,0,0,0,0
0.0,3.0,577,23.0,1,0,0,0,0
16.0,48.0,647,17.0,0,0,0,0,0
1.0,4.0,588,25.0,0,0,0,0,0
3.0,10.0,600,20.0,0,0,0,0,0
19.0,54.0,681,7.0,0,0,0,0,0
6.0,35.0,607,13.0,1,1,1,0,0
2.0,16.0,650,14.0,1,1,0,0,0
2.0,17.0,585,17.0,1,0,0,0,0
3.0,17.0,575,19.0,0,0,0,0,0
1.0,2.0,599,39.0,0,0,0,0,0
1.0,2.0,595,14.0,0,0,0,0,0
4.0,15.0,550,33.0,0,0,0,0,0
5.0,6.0,582,16.0,1,1,1,0,0
4.0,20.0,556,6.0,1,0,0,0,0
0.0,4.0,662,8.0,0,0,0,0,0
4.0,14.0,631,26.0,0,0,0,0,0
6.0,12.0,566,25.0,1,1,1,1,1
2.0,11.0,587,8.0,1,1,1,1,0
7.0,22.0,597,8.0,0,0,0,0,0
3.0,8.0,579,39.0,0,0,0,0,0
0.0,8.0,628,37.0,0,0,0,0,0
13.0,28.0,647,48.0,0,0,0,0,0
7.0,11.0,619,9.0,1,0,0,0,0
10.0,18.0,653,35.0,0,0,0,0,0
1.0,4.0,666,8.0,0,0,0,0,0
2.0,10.0,655,25.0,0,0,0,0,0
15.0,23.0,642,7.0,0,0,0,0,0
0.0,10.0,581,18.0,1,0,0,0,0
3.0,19.0,621,15.0,0,0,0,0,0
12.0,25.0,603,59.0,0,0,0,0,0
5.0,7.0,612,23.0,0,0,0,0,0
0.0,12.0,617,9.0,1,1,0,0,0
0.0,4.0,578,36.0,1,0,0,0,0
2.0,11.0,635,20.0,0,0,0,0,0
2.0,13.0,604,28.0,1,1,1,1,1
0.0,3.0,575,13.0,1,1,1,1,1
0.0,6.0,573,31.0,1,1,1,0,0
1.0,14.0,589,18.0,0,0,0,0,0
0.0,13.0,604,17.0,1,1,1,1,1
1.0,2.0,596,5.0,1,0,0,0,0
2.0,19.0,584,7.0,1,0,0,0,0
12.0,42.0,692,53.0,0,0,0,0,0
3.0,18.0,684,14.0,0,0,0,0,0
0.0,6.0,588,22.0,1,1,1,1,1
3.0,9.0,649,5.0,1,0,0,0,0
4.0,12.0,550,30.0,1,1,1,1,1
0.0,6.0,583,13.0,0,0,0,0,0
13.0,37.0,607,12.0,1,0,0,0,0
4.0,13.0,569,57.0,1,1,1,1,1
0.0,1.0,580,23.0,1,1,1,1,1
0.0,7.0,638,9.0,1,1,1,1,1
0.0,4.0,550,32.0,1,1,1,1,1
3.0,8.0,583,10.0,0,0,0,0,0
1.0,2.0,603,30.0,0,0,0,0,0
2.0,13.0,596,32.0,0,0,0,0,0
5.0,14.0,633,3.0,1,0,0,0,0
2.0,10.0,697,8.0,0,0,0,0,0
11.0,24.0,617,15.0,0,0,0,0,0
2.0,9.0,625,29.0,0,0,0,0,0
2.0,8.0,604,41.0,0,0,0,0,0
3.0,3.0,604,21.0,0,0,0,0,0
4.0,18.0,656,4.0,1,0,0,0,0
17.0,24.0,625,3.0,0,0,0,0,0
7.0,25.0,657,7.0,0,0,0,0,0
0.0,4.0,577,23.0,0,0,0,0,0
0.0,5.0,691,24.0,1,0,0,0,0
1.0,21.0,658,6.0,1,0,0,0,0
6.0,14.0,578,16.0,0,0,0,0,0
12.0,29.0,632,40.0,0,0,0,0,0
6.0,12.0,562,29.0,1,0,0,0,0
4.0,4.0,572,42.0,0,0,0,0,0
0.0,6.0,624,9.0,0,0,0,0,0
1.0,10.0,592,56.0,1,0,0,0,0
6.0,18.0,693,33.0,1,1,1,0,0
6.0,12.0,609,4.0,0,0,0,0,0
9.0,39.0,602,34.0,1,1,1,1,1
1.0,12.0,542,6.0,0,0,0,0,0
0.0,6.0,550,12.0,1,0,0,0,0
3.0,14.0,608,4.0,0,0,0,0,0
12.0,26.0,622,17.0,1,1,0,0,0
0.0,9.0,609,16.0,1,1,1,1,1
9.0,23.0,607,37.0,0,0,0,0,0
5.0,30.0,601,9.0,0,0,0,0,0
13.0,26.0,600,23.0,0,0,0,0,0
3.0,11.0,596,24.0,1,1,0,0,0
1.0,3.0,593,30.0,0,0,0,0,0
4.0,16.0,550,61.0,1,0,0,0,0
0.0,3.0,600,3.0,1,0,0,0,0
4.0,10.0,605,15.0,0,0,0,0,0
8.0,19.0,551,14.0,1,0,0,0,0
1.0,7.0,592,4.0,0,0,0,0,0
3.0,20.0,567,51.0,0,0,0,0,0
1.0,14.0,588,10.0,0,0,0,0,0
17.0,34.0,610,9.0,0,0,0,0,0
4.0,14.0,573,10.0,0,0,0,0,0
1.0,1.0,632,44.0,0,0,0,0,0
6.0,11.0,606,11.0,1,0,0,0,0
1.0,13.0,599,20.0,0,0,0,0,0
2.0,8.0,682,10.0,0,0,0,0,0
5.0,10.0,643,8.0,0,0,0,0,0
1.0,5.0,554,20.0,1,0,0,0,0
11.0,23.0,641,49.0,0,0,0,0,0
4.0,9.0,572,34.0,0,0,0,0,0
13.0,17.0,581,23.0,1,1,0,0,0
11.0,34.0,686,12.0,0,0,0,0,0
15.0,38.0,509,7.0,0,0,0,0,0
2.0,5.0,616,17.0,1,0,0,0,0
2.0,19.0,629,55.0,0,0,0,0,0
4.0,5.0,607,33.0,1,0,0,0,0
0.0,12.0,555,39.0,1,1,0,0,0
1.0,7.0,668,7.0,0,0,0,0,0
2.0,8.0,624,7.0,0,0,0,0,0
5.0,23.0,584,12.0,1,0,0,0,0
0.0,4.0,603,22.0,1,1,0,0,0
6.0,8.0,599,17.0,0,0,0,0,0
0.0,3.0,588,11.0,0,0,0,0,0
8.0,12.0,645,16.0,0,0,0,0,0
0.0,9.0,612,12.0,1,0,0,0,0
0.0,7.0,552,12.0,1,0,0,0,0
2.0,24.0,614,7.0,0,0,0,0,0
13.0,27.0,588,3.0,1,1,0,0,0
1.0,18.0,569,22.0,1,1,1,0,0
7.0,15.0,609,8.0,1,1,0,0,0
4.0,15.0,705,2.0,0,0,0,0,0
1.0,17.0,582,28.0,1,1,1,1,1
7.0,10.0,588,30.0,0,0,0,0,0
4.0,9.0,586,25.0,1,1,1,0,0
2.0,5.0,582,20.0,1,0,0,0,0
7.0,15.0,607,2.0,1,0,0,0,0
0.0,6.0,568,27.0,1,1,1,1,1
0.0,2.0,592,11.0,0,0,0,0,0
2.0,8.0,553,30.0,1,1,0,0,0
2.0,9.0,639,28.0,0,0,0,0,0
2.0,9.0,588,9.0,0,0,0,0,0
6.0,16.0,622,4.0,1,0,0,0,0
0.0,14.0,586,45.0,1,1,1,1,1
2.0,10.0,569,4.0,0,0,0,0,0
21.0,23.0,634,67.0,1,1,1,1,1
4.0,5.0,607,15.0,0,0,0,0,0
7.0,28.0,623,7.0,0,0,0,0,0
4.0,17.0,575,10.0,1,1,0,0,0
0.0,10.0,558,52.0,1,1,1,1,1
4.0,20.0,674,3.0,0,0,0,0,0
14.0,31.0,615,46.0,0,0,0,0,0
1.0,12.0,672,36.0,1,1,1,1,1
1.0,1.0,653,6.0,0,0,0,0,0
1.0,3.0,592,21.0,1,1,1,1,1
20.0,44.0,550,42.0,0,0,0,0,0
10.0,31.0,630,18.0,0,0,0,0,0
3.0,11.0,555,28.0,1,1,1,1,1
6.0,28.0,687,16.0,1,0,0,0,0
0.0,3.0,615,20.0,1,1,0,0,0
1.0,7.0,625,9.0,0,0,0,0,0
10.0,24.0,614,10.0,0,0,0,0,0
2.0,9.0,641,2.0,1,0,0,0,0
18.0,32.0,663,13.0,1,0,0,0,0
1.0,12.0,588,15.0,0,0,0,0,0
7.0,15.0,583,46.0,0,0,0,0,0
0.0,6.0,635,18.0,1,1,1,0,0
8.0,36.0,550,6.0,0,0,0,0,0
9.0,24.0,594,33.0,0,0,0,0,0
0.0,1.0,578,26.0,1,0,0,0,0
0.0,10.0,673,18.0,1,1,1,1,1
4.0,18.0,593,14.0,0,0,0,0,0
23.0,42.0,650,15.0,0,0,0,0,0
9.0,19.0,550,79.0,0,0,0,0,0
2.0,18.0,561,3.0,1,1,1,1,1
1.0,15.0,640,5.0,1,1,1,1,1
2.0,19.0,632,19.0,0,0,0,0,0
2.0,7.0,657,1.0,1,0,0,0,0
0.0,2.0,571,27.0,1,1,1,1,1
3.0,20.0,564,19.0,0,0,0,0,0
1.0,15.0,563,30.0,0,0,0,0,0
3.0,26.0,567,8.0,1,1,1,0,0
4.0,28.0,551,49.0,0,0,0,0,0
2.0,7.0,609,41.0,0,0,0,0,0
0.0,8.0,581,21.0,0,0,0,0,0
10.0,27.0,697,5.0,1,0,0,0,0
6.0,13.0,654,3.0,0,0,0,0,0
3.0,10.0,676,9.0,0,0,0,0,0
1.0,6.0,630,20.0,0,0,0,0,0
11.0,26.0,601,66.0,1,1,1,1,1
0.0,5.0,561,21.0,1,1,1,1,1
3.0,17.0,597,3.0,0,0,0,0,0
6.0,14.0,736,2.0,0,0,0,0,0
1.0,10.0,567,7.0,1,1,0,0,0
4.0,35.0,640,29.0,0,0,0,0,0
0.0,1.0,566,22.0,1,1,1,1,1
1.0,6.0,580,10.0,1,0,0,0,0
18.0,32.0,630,10.0,0,0,0,0,0
4.0,51.0,661,21.0,0,0,0,0,0
12.0,22.0,660,1.0,1,0,0,0,0
8.0,18.0,639,8.0,0,0,0,0,0
0.0,4.0,614,6.0,1,1,1,1,1
3.0,25.0,551,8.0,1,1,1,0,0
3.0,9.0,608,4.0,0,0,0,0,0
2.0,23.0,633,9.0,0,0,0,0,0
1.0,15.0,677,1.0,0,0,0,0,0
2.0,18.0,593,14.0,0,0,0,0,0
1.0,5.0,662,20.0,0,0,0,0,0
0.0,1.0,600,31.0,0,0,0,0,0
2.0,9.0,606,21.0,0,0,0,0,0
0.0,5.0,593,7.0,1,0,0,0,0
8.0,39.0,591,5.0,0,0,0,0,0
2.0,10.0,652,12.0,0,0,0,0,0
0.0,5.0,568,31.0,0,0,0,0,0
1.0,5.0,576,32.0,0,0,0,0,0
0.0,3.0,585,32.0,1,1,1,1,1
